name,title,organization,num_resources,num_tags,license_id,isopen,state,first_resource_url,first_resource_format,first_resource_status,created,modified
ingreso-diario-de-volumenes-tm-de-productos-al-gmml-del-01-al-21-de-abril-2017,INGRESO DIARIO DE VOLUMENES ( TM ) DE PRODUCTOS AL GMML DEL   01 AL 21  DE  ABRIL  2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.ABRIL__2.xlsx,XLSX,200,"Mar, 04/25/2017 - 08:21","Vie, 07/07/2017 - 20:07"
volumenes-de-producto-por-varieadad-tm-del-01-al-21-de-abril-del-año-2017,VOLUMENES DE PRODUCTO POR VARIEADAD   TM. DEL 01 AL 21 DE ABRIL DEL AÑO 2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.PROD_._2.xlsx,XLSX,200,"Mar, 04/25/2017 - 08:27","Vie, 07/07/2017 - 20:07"
ingreso-diarios-de-precios-por-variedad-de-producto-en-kg-del-01-al-24-de-abril-2017,INGRESO DIARIOS DE PRECIOS POR VARIEDAD  DE PRODUCTO EN KG.  DEL 01 AL 24 DE ABRIL  2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/PRC.ABRIL__3.xlsx,XLSX,200,"Mar, 04/25/2017 - 08:50","Vie, 07/07/2017 - 20:07"
ingreso-diario-de-volumenes-tm-de-productos-al-gmml-del-01-al-24-de-abril-2017,INGRESO DIARIO DE VOLUMENES ( TM ) DE PRODUCTOS AL GMML DEL   01 AL 24  DE  ABRIL  2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.ABRIL__3.xlsx,XLSX,200,"Mar, 04/25/2017 - 08:48","Vie, 07/07/2017 - 20:07"
volumenes-y-procedencias-del-producto-del-01-al-21-de-abril-del-año-2017,VOLUMENES Y PROCEDENCIAS DEL PRODUCTO DEL 01 AL 21 DE ABRIL DEL AÑO:    2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.PROC_.PROD_._2.xlsx,XLSX,200,"Mar, 04/25/2017 - 08:30","Vie, 07/07/2017 - 20:07"
volumenes-de-producto-por-varieadad-tm-del-01-al-24-de-abril-del-año-2017,VOLUMENES DE PRODUCTO POR VARIEADAD   TM. DEL 01 AL 24 DE ABRIL DEL AÑO 2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.PROD_._3.xlsx,XLSX,200,"Mar, 04/25/2017 - 09:01","Vie, 07/07/2017 - 20:07"
volumenes-y-procedencias-del-producto-del-01-al-24-de-abril-del-año-2017,VOLUMENES Y PROCEDENCIAS DEL PRODUCTO DEL 01 AL 24 DE ABRIL DEL AÑO:    2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.PROC_.PROD_._3.xlsx,XLSX,200,"Mar, 04/25/2017 - 09:03","Vie, 07/07/2017 - 20:07"
precios-por-productos-variedad-del-01-al-24-de-abril-del-año-2017-kg,PRECIOS POR PRODUCTOS VARIEDAD DEL 01 AL 24 DE ABRIL DEL AÑO 2017  KG.,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/prec.mensual_3.xlsx,XLSX,200,"Mar, 04/25/2017 - 08:54","Vie, 07/07/2017 - 20:07"
ingreso-diario-de-volumenes-tm-de-productos-al-gmml-del-01-al-25-de-abril-2017,INGRESO DIARIO DE VOLUMENES ( TM ) DE PRODUCTOS AL GMML DEL   01 AL 25  DE  ABRIL  2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.ABRIL__4.xlsx,XLSX,200,"Mar, 04/25/2017 - 14:33","Vie, 07/07/2017 - 20:07"
volumenes-de-producto-por-varieadad-tm-del-01-al-25-de-abril-del-año-2017,VOLUMENES DE PRODUCTO POR VARIEADAD   TM. DEL 01 AL 25 DE ABRIL DEL AÑO 2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.PROD_._4.xlsx,XLSX,200,"Mar, 04/25/2017 - 14:40","Vie, 07/07/2017 - 20:07"
