ruc	anio	mes	aduana_codigo	aduana_nombre	agente_codigo	agente_nombre	pais_codigo	pais_nombre	fob_usd	fecha_consulta
20136201132	2025	10	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	130099.73	2026-09-19T23:27:29.864Z
20136201132	2025	11	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	FR	FRANCE	176155.77	2026-09-19T23:27:29.864Z
20136201213	2025	1	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	CA	CANADA	116933.14	2026-09-19T23:27:29.864Z
20136201213	2025	1	118	MARITIMA DEL CALLAO	4795	A. HARTRODT ADUANAS S.A.C.	US	UNITED STATES	146414.45	2026-09-19T23:27:29.864Z
20136201213	2025	2	118	MARITIMA DEL CALLAO	6158	AGENCIA DE ADUANA MACROMAR S.A.	DE	GERMANY	9676.56	2026-09-19T23:27:29.864Z
20136201213	2025	7	118	MARITIMA DEL CALLAO	6158	AGENCIA DE ADUANA MACROMAR S.A.	US	UNITED STATES	135956.28	2026-09-19T23:27:29.864Z
20136201213	2025	8	118	MARITIMA DEL CALLAO	6158	AGENCIA DE ADUANA MACROMAR S.A.	US	UNITED STATES	119223.20	2026-09-19T23:27:29.864Z
20136201213	2025	9	118	MARITIMA DEL CALLAO	6158	AGENCIA DE ADUANA MACROMAR S.A.	US	UNITED STATES	250996.21	2026-09-19T23:27:29.864Z
20136201213	2025	10	118	MARITIMA DEL CALLAO	6158	AGENCIA DE ADUANA MACROMAR S.A.	JP	JAPAN	130125.60	2026-09-19T23:27:29.864Z
20136201213	2025	10	118	MARITIMA DEL CALLAO	6158	AGENCIA DE ADUANA MACROMAR S.A.	US	UNITED STATES	499781.23	2026-09-19T23:27:29.864Z
20136201213	2025	10	118	MARITIMA DEL CALLAO	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	161641.56	2026-09-19T23:27:29.864Z
20136201213	2025	10	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	DE	GERMANY	167330.80	2026-09-19T23:27:29.864Z
20136201213	2025	11	118	MARITIMA DEL CALLAO	6158	AGENCIA DE ADUANA MACROMAR S.A.	US	UNITED STATES	187096.75	2026-09-19T23:27:29.864Z
20136201213	2025	11	118	MARITIMA DEL CALLAO	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	327926.54	2026-09-19T23:27:29.864Z
20136201213	2025	12	118	MARITIMA DEL CALLAO	6158	AGENCIA DE ADUANA MACROMAR S.A.	US	UNITED STATES	69441.88	2026-09-19T23:27:29.864Z
20136201213	2025	12	118	MARITIMA DEL CALLAO	6158	AGENCIA DE ADUANA MACROMAR S.A.	JP	JAPAN	172655.80	2026-09-19T23:27:29.864Z
