ruc	registrado	nombre_ppa	fecha_consulta
20447688281	true	SOCIEDAD PERUANA DE CRIADORES DE ALPACAS Y LLAMAS DE PARATIA	2026-09-20T00:32:24.606Z
20447888701	true	COOPERATIVA AGRARIA INDUSTRIAL SAN GABAN LTDA.	2026-09-20T00:32:24.606Z
20448031358	true	ASOCIACION DE PRODUCTORES DE PAPAYA ANDINA ORGÁNICA DE LA PROVINCIA DE SANDIA	2026-09-20T00:32:24.606Z
20448277781	true	COOPERATIVA AGRARIA INDUSTRIALIZADA CABANA LTDA	2026-09-20T00:32:24.606Z
20448748902	true	INDUSTRIAS AGROALIMENTOS EL ESTABLO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA	2026-09-20T00:32:24.606Z
20448766471	true	COOPERATIVA DE SERVICIOS SAN SANTIAGO - ACORA	2026-09-20T00:32:24.606Z
20448791310	true	COOPERATIVA AGROINDUSTRIAL DE PRODUCTORES AGROPECUARIOS CABANA LIMITADA	2026-09-20T00:32:24.606Z
20448807500	true	CONSORCIO ALPAQUERO PERU EXPORT	2026-09-20T00:32:24.606Z
20448843051	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS PIEDRA BLANCA DE CHALLAPAMPA	2026-09-20T00:32:24.606Z
20449558902	true	ASOCIACION CIVIL DE MANTENIMIENTO VIAL Y DESARROLLO AGROPECUARIO CALVARIO	2026-09-20T00:32:24.606Z
20450105113	true	COOPERATIVA AGRARIA DEL PALMITO APROPAL	2026-09-20T00:32:24.606Z
20450189201	true	COOPERATIVA DE SERVICIOS MULTIPLES FRUTOS DE SELVA	2026-09-20T00:32:24.606Z
20450207544	true	COOPERATIVA AGRARIA UCHIZA LTDA	2026-09-20T00:32:24.606Z
20450242021	true	"COOPERATIVA DE SERVICIOS MULTIPLES CAPEMA"	2026-09-20T00:32:24.606Z
20450319423	true	COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES CAFE DONCEL	2026-09-20T00:32:24.606Z
20450638791	true	ASOCIACION DE CASTAÑEROS DE LA RESERVA DE TAMBOPATA LOS PIONEROS - ASCART	2026-09-20T00:32:24.606Z
20452774705	true	COOPERATIVA AGRARIA CACAO VRAE	2026-09-20T00:32:24.606Z
20454319169	true	ASOCIACION LA JOYA AGRO EXPORT	2026-09-20T00:32:24.606Z
20454864604	true	ASOCIACION DE PRODUCTORES AGROINDUSTRIALES SIGUAS MAJES - PRASIMEX	2026-09-20T00:32:24.606Z
20455129321	true	ASOCIACIÓN DE CRIADORES DE ALPACAS DEL DISTRITO DE SIBAYO ASCADIS	2026-09-20T00:32:24.606Z
20455429120	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS DE AGROEXPORTACION E-4 IRRIGACION  MAJES-AREQUIPA	2026-09-20T00:32:24.606Z
20479595276	true	COOPERATIVA AGRARIA CAFETALERA CASIL LTDA.	2026-09-20T00:32:24.606Z
20479622699	true	COOPERATIVA AGRARIA JUAN MARCO EL PALTO	2026-09-20T00:32:24.606Z
20479728501	true	ASOCIACION AGROPECUARIA DE MOLINOPAMPA	2026-09-20T00:32:24.606Z
20479856258	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS LUIS SOLIBARRIA	2026-09-20T00:32:24.606Z
20479917141	true	COOPERATIVA AGRARIA CENTRAL DE PRODUCTORES DE AMAZONAS	2026-09-20T00:32:24.606Z
20480118295	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS SANTO TOMAS	2026-09-20T00:32:24.606Z
20480458550	true	COOPERATIVA AGRARIA APROCAM	2026-09-20T00:32:24.606Z
20480762895	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS LA FLOR DE CAFE	2026-09-20T00:32:24.606Z
20481402540	true	ASOCIACION DE APICULTORES NECTAR DE VIDA DEL VALLE CHICAMA	2026-09-20T00:32:24.606Z
20481929122	true	ASOCIACION DE PEQUEÑOS PRODUCTORES AGROPECUARIOS PERLA DEL PARAISO	2026-09-20T00:32:24.606Z
20482423320	true	ASOCIACION DE PRODUCTORES AGROINDUSTRIALES SANTA ROSA	2026-09-20T00:32:24.606Z
20482572163	true	COOPERATIVA AGRARIA DE PRODUCTORES LA VICTORIA CACHICADAN - COAPROLAVIC	2026-09-20T00:32:24.606Z
20484163902	true	COOPERATIVA AGRARIA APPROCAP LTDA	2026-09-20T00:32:24.606Z
20485945815	true	COOPERATIVA AGRARIA CAFETALERA ECOLOGICO ALTO PALOMAR	2026-09-20T00:32:24.606Z
