ruc,nombre,declarado_directorio_2025_usd,fob_aduanas_2025_usd,categoria,diferencia_pct
20603820691,COOPERATIVA AGRARIA DE SERVICIOS MÚLTIPLES CORDILLERA AZUL,2127055.09,896994.95,AMBAS_FUENTES,-57.8
20606451122,ASOCIACIÓN DE PRODUCTORES CERRO BLANCO,2688149.21,864647.85,AMBAS_FUENTES,-67.8
20602054480,COOPERATIVA ECOLOGICA DE MUJERES CAFETALERAS VILLA RICA,2405109.49,826100.75,AMBAS_FUENTES,-65.7
20448277781,COOPERATIVA AGRARIA INDUSTRIALIZADA CABANA LTDA,818676.45,479288.16,AMBAS_FUENTES,-41.5
20484163902,COOPERATIVA AGRARIA APPROCAP LTDA,1068430,447400,AMBAS_FUENTES,-58.1
20612331821,ASOCIACIÓN DE MUJERES LAS 0S DE LUYA,1032801.77,300233.07,AMBAS_FUENTES,-70.9
20611198923,COOPERATIVA AGRARIA LAND PERU,240752,254896.29,AMBAS_FUENTES,5.9
20605500430,COOPERATIVA AGRARIA DE PRODUCTORES ECOLOGICOS LOS CHANKAS VALLE DEL RIO PERENE,609874.95,147669.48,AMBAS_FUENTES,-75.8
20611254068,COOPERATIVA AGRARIA WARMI TARPUY,242788.49,68584.32,AMBAS_FUENTES,-71.8
20608478311,COOPERATIVA AGRARIA YAKATHEO DEL AMAZONAS COOPAYAKAT,41662.35,19111.5,AMBAS_FUENTES,-54.1
20609846314,COOPERATIVA AGRARIA DE FAMILIAS CAMPESINAS EMPRENDEDORAS Y RESILIENTES DEL PERU - CAFCER,7436346.41,,SOLO_DIRECTORIO,
20140292657,COOPERATIVA AGRARIA CAFETALERA CCOCHAPAMPA LTDA.,1773460,,SOLO_DIRECTORIO,
20404057805,,,18616318.71,SOLO_ADUANAS,
20542380455,,,10148849.9,SOLO_ADUANAS,
20601958911,,,9537122.65,SOLO_ADUANAS,
20129529530,,,6815862.08,SOLO_ADUANAS,
20170142773,,,6139390.53,SOLO_ADUANAS,
20570706927,,,5687019.69,SOLO_ADUANAS,
20527565376,,,5685065.81,SOLO_ADUANAS,
20600682386,,,3374686.97,SOLO_ADUANAS,
20140181405,,,2877331.57,SOLO_ADUANAS,
20572190251,,,2037198.35,SOLO_ADUANAS,
20607536016,,,1979570.69,SOLO_ADUANAS,
20600796721,,,1425238.61,SOLO_ADUANAS,
20609555395,,,1265261.9,SOLO_ADUANAS,
20402648504,,,1244035.81,SOLO_ADUANAS,
20452774705,,,1102151.22,SOLO_ADUANAS,
20480458550,,,1053705.22,SOLO_ADUANAS,
20132509795,,,1039099.41,SOLO_ADUANAS,
20603957033,,,783296.67,SOLO_ADUANAS,
20450105113,,,710052.2,SOLO_ADUANAS,
20136201132,,,561223.8,SOLO_ADUANAS,
20132509876,,,406699.75,SOLO_ADUANAS,
20479917141,,,377881.98,SOLO_ADUANAS,
20603907176,,,343700,SOLO_ADUANAS,
20574602450,,,307832.78,SOLO_ADUANAS,
20600785541,,,284507.06,SOLO_ADUANAS,
